Time Voltagedecimal Voltage
1634815754.5464525 1 0.012890625
1634815754.5464525 3 0.038671874999999994
1634815754.5464525 5 0.064453125
1634815754.5464525 8 0.103125
1634815754.5464525 10 0.12890625
1634815754.5464525 13 0.167578125
1634815754.5464525 14 0.18046874999999998
1634815754.5464525 17 0.21914062499999998
1634815754.5464525 19 0.24492187499999998
1634815754.5464525 19 0.24492187499999998
1634815754.5464525 22 0.28359375
1634815754.5464525 23 0.29648437499999997
1634815754.5464525 26 0.33515625
1634815754.5464525 27 0.348046875
1634815754.5464525 29 0.37382812499999996
1634815754.5464525 31 0.399609375
1634815754.5464525 34 0.43828124999999996
1634815754.5464525 35 0.451171875
1634815754.5464525 38 0.48984374999999997
1634815754.5464525 39 0.502734375
1634815754.5464525 41 0.5285156249999999
1634815754.5464525 43 0.554296875
1634815754.5464525 44 0.5671875
1634815754.5464525 46 0.5929687499999999
1634815754.5464525 47 0.605859375
1634815754.5464525 49 0.631640625
1634815754.5464525 52 0.6703125
1634815754.5464525 53 0.6832031249999999
1634815754.5464525 55 0.708984375
1634815754.5464525 55 0.708984375
1634815754.5464525 0 0.0
1634815754.5464525 0 0.0
1634815754.5464525 0 0.0
1634815754.5464525 1 0.012890625
1634815754.5464525 4 0.0515625
1634815754.5464525 5 0.064453125
1634815754.5464525 7 0.09023437499999999
1634815754.5464525 9 0.116015625
1634815754.5464525 11 0.141796875
1634815754.5464525 14 0.18046874999999998
1634815754.5464525 15 0.193359375
1634815754.5464525 18 0.23203125
1634815754.5464525 20 0.2578125
1634815754.5464525 21 0.270703125
1634815754.5464525 23 0.29648437499999997
1634815754.5464525 26 0.33515625
1634815754.5464525 27 0.348046875
1634815754.5464525 29 0.37382812499999996
1634815754.5464525 31 0.399609375
1634815754.5464525 33 0.42539062499999997
1634815754.5464525 35 0.451171875
1634815754.5464525 37 0.476953125
1634815754.5464525 38 0.48984374999999997
1634815754.5464525 40 0.515625
1634815754.5464525 42 0.54140625
1634815754.5464525 43 0.554296875
1634815754.5464525 45 0.580078125
1634815754.5464525 47 0.605859375
1634815754.5464525 49 0.631640625
1634815754.5464525 50 0.64453125
1634815754.5464525 52 0.6703125
1634815754.5464525 54 0.69609375
1634815754.5464525 55 0.708984375
1634815754.5464525 57 0.734765625
1634815754.5464525 59 0.760546875
1634815754.5464525 61 0.7863281249999999
1634815754.5464525 63 0.8121093749999999
1634815754.5464525 63 0.8121093749999999
1634815754.5464525 66 0.8507812499999999
1634815754.5464525 67 0.863671875
1634815754.5464525 68 0.8765624999999999
1634815754.5464525 70 0.90234375
1634815754.5464525 71 0.9152343749999999
1634815754.5464525 72 0.928125
1634815754.5464525 74 0.95390625
1634815754.5464525 75 0.966796875
1634815754.5464525 77 0.992578125
1634815754.5464525 79 1.018359375
1634815754.5464525 81 1.044140625
1634815754.5464525 81 1.044140625
1634815754.5464525 83 1.069921875
1634815754.5464525 85 1.095703125
1634815754.5464525 86 1.10859375
1634815754.5464525 87 1.1214843749999999
1634815754.5464525 89 1.147265625
1634815754.5464525 90 1.16015625
1634815754.5464525 91 1.173046875
1634815754.5464525 92 1.1859374999999999
1634815754.5464525 93 1.198828125
1634815754.5464525 94 1.21171875
1634815754.5464525 95 1.224609375
1634815754.5464525 98 1.26328125
1634815754.5464525 99 1.276171875
1634815754.5464525 100 1.2890625
1634815754.5464525 101 1.3019531249999998
1634815754.5464525 103 1.327734375
1634815754.5464525 103 1.327734375
1634815754.5464525 105 1.353515625
1634815754.5464525 105 1.353515625
1634815754.5464525 107 1.3792968749999999
1634815754.5464525 109 1.405078125
1634815754.5464525 109 1.405078125
1634815754.5464525 111 1.4308593749999998
1634815754.5464525 111 1.4308593749999998
1634815754.5464525 114 1.46953125
1634815754.5464525 115 1.482421875
1634815754.5464525 115 1.482421875
1634815754.5464525 117 1.5082031249999999
1634815754.5464525 117 1.5082031249999999
1634815754.5464525 119 1.533984375
1634815754.5464525 119 1.533984375
1634815754.5464525 120 1.546875
1634815754.5464525 122 1.5726562499999999
1634815754.5464525 123 1.585546875
1634815754.5464525 125 1.611328125
1634815754.5464525 125 1.611328125
1634815754.5464525 127 1.6371093749999999
1634815754.5464525 127 1.6371093749999999
1634815754.5464525 128 1.65
1634815754.5464525 129 1.662890625
1634815754.5464525 129 1.662890625
1634815754.5464525 131 1.6886718749999998
1634815754.5464525 132 1.7015624999999999
1634815754.5464525 133 1.714453125
1634815754.5464525 133 1.714453125
1634815754.5464525 135 1.740234375
1634815754.5464525 135 1.740234375
1634815754.5464525 137 1.7660156249999999
1634815754.5464525 138 1.77890625
1634815754.5464525 138 1.77890625
1634815754.5464525 140 1.8046875
1634815754.5464525 141 1.8175781249999998
1634815754.5464525 141 1.8175781249999998
1634815754.5464525 143 1.843359375
1634815754.5464525 143 1.843359375
1634815754.5464525 144 1.85625
1634815754.5464525 145 1.869140625
1634815754.5464525 147 1.8949218749999999
1634815754.5464525 148 1.9078125
1634815754.5464525 147 1.8949218749999999
1634815754.5464525 149 1.920703125
1634815754.5464525 149 1.920703125
1634815754.5464525 150 1.93359375
1634815754.5464525 151 1.9464843749999998
1634815754.5464525 152 1.9593749999999999
1634815754.5464525 152 1.9593749999999999
1634815754.5464525 153 1.972265625
1634815754.5464525 154 1.98515625
1634815754.5464525 154 1.98515625
1634815754.5464525 155 1.998046875
1634815754.5464525 157 2.023828125
1634815754.5464525 155 1.998046875
1634815754.5464525 154 1.98515625
1634815754.5464525 152 1.9593749999999999
1634815754.5464525 152 1.9593749999999999
1634815754.5464525 150 1.93359375
1634815754.5464525 150 1.93359375
1634815754.5464525 148 1.9078125
1634815754.5464525 147 1.8949218749999999
1634815754.5464525 145 1.869140625
1634815754.5464525 143 1.843359375
1634815754.5464525 143 1.843359375
1634815754.5464525 142 1.8304687499999999
1634815754.5464525 141 1.8175781249999998
1634815754.5464525 139 1.791796875
1634815754.5464525 138 1.77890625
1634815754.5464525 137 1.7660156249999999
1634815754.5464525 136 1.7531249999999998
1634815754.5464525 136 1.7531249999999998
1634815754.5464525 134 1.72734375
1634815754.5464525 133 1.714453125
1634815754.5464525 131 1.6886718749999998
1634815754.5464525 131 1.6886718749999998
1634815754.5464525 129 1.662890625
1634815754.5464525 128 1.65
1634815754.5464525 0 0.0
