Time Voltagedecimal Voltage
1634815866.1138966 1 0.012890625
1634815866.1138966 4 0.0515625
1634815866.1138966 6 0.07734374999999999
1634815866.1138966 7 0.09023437499999999
1634815866.1138966 10 0.12890625
1634815866.1138966 13 0.167578125
1634815866.1138966 14 0.18046874999999998
1634815866.1138966 15 0.193359375
1634815866.1138966 19 0.24492187499999998
1634815866.1138966 21 0.270703125
1634815866.1138966 22 0.28359375
1634815866.1138966 23 0.29648437499999997
1634815866.1138966 26 0.33515625
1634815866.1138966 28 0.36093749999999997
1634815866.1138966 30 0.38671875
1634815866.1138966 31 0.399609375
1634815866.1138966 33 0.42539062499999997
1634815866.1138966 35 0.451171875
1634815866.1138966 37 0.476953125
1634815866.1138966 39 0.502734375
1634815866.1138966 41 0.5285156249999999
1634815866.1138966 43 0.554296875
1634815866.1138966 45 0.580078125
1634815866.1138966 47 0.605859375
1634815866.1138966 48 0.6187499999999999
1634815866.1138966 50 0.64453125
1634815866.1138966 51 0.6574218749999999
1634815866.1138966 53 0.6832031249999999
1634815866.1138966 54 0.69609375
1634815866.1138966 56 0.7218749999999999
1634815866.1138966 57 0.734765625
1634815866.1138966 59 0.760546875
1634815866.1138966 61 0.7863281249999999
1634815866.1138966 63 0.8121093749999999
1634815866.1138966 63 0.8121093749999999
1634815866.1138966 65 0.837890625
1634815866.1138966 67 0.863671875
1634815866.1138966 69 0.889453125
1634815866.1138966 70 0.90234375
1634815866.1138966 71 0.9152343749999999
1634815866.1138966 74 0.95390625
1634815866.1138966 74 0.95390625
1634815866.1138966 76 0.9796874999999999
1634815866.1138966 77 0.992578125
1634815866.1138966 79 1.018359375
1634815866.1138966 81 1.044140625
1634815866.1138966 82 1.0570312499999999
1634815866.1138966 83 1.069921875
1634815866.1138966 85 1.095703125
1634815866.1138966 86 1.10859375
1634815866.1138966 87 1.1214843749999999
1634815866.1138966 90 1.16015625
1634815866.1138966 90 1.16015625
1634815866.1138966 91 1.173046875
1634815866.1138966 92 1.1859374999999999
1634815866.1138966 94 1.21171875
1634815866.1138966 95 1.224609375
1634815866.1138966 97 1.2503906249999999
1634815866.1138966 98 1.26328125
1634815866.1138966 99 1.276171875
1634815866.1138966 101 1.3019531249999998
1634815866.1138966 101 1.3019531249999998
1634815866.1138966 102 1.3148437499999999
1634815866.1138966 105 1.353515625
1634815866.1138966 105 1.353515625
1634815866.1138966 106 1.3664062499999998
1634815866.1138966 107 1.3792968749999999
1634815866.1138966 109 1.405078125
1634815866.1138966 110 1.41796875
1634815866.1138966 111 1.4308593749999998
1634815866.1138966 112 1.4437499999999999
1634815866.1138966 113 1.456640625
1634815866.1138966 115 1.482421875
1634815866.1138966 115 1.482421875
1634815866.1138966 116 1.4953124999999998
1634815866.1138966 118 1.52109375
1634815866.1138966 119 1.533984375
1634815866.1138966 120 1.546875
1634815866.1138966 121 1.5597656249999998
1634815866.1138966 122 1.5726562499999999
1634815866.1138966 123 1.585546875
1634815866.1138966 124 1.5984375
1634815866.1138966 126 1.6242187499999998
